중국 최초 달 탐사선, 달 착륙 성공…"표면사진 보내와"	2020.12.02. 오전 11:13	창어 5호 탐지기의 달 표면 작업 장면 설명도 / 사진=중국 국가항천국, 인민일보 캡처  중국 최초로 달 표면 샘플을 채취해 지구로 복귀하는 임무를 수행하는 무인 달 탐사선 창어(嫦娥) 5호가 달 착륙에 성공했습니다.  중국 국가항천국(CNSA)은 창어 5호가 현지시간 1일 오후 11시 11분 계획한 지점에 착륙하고 달 표면 사진을 보내왔다고 발표했다고 글로벌타임스 등 중국매체가 오늘(2일) 전했습니다.  창어 5호는 지난달 24일 하이난(海南)성 원창(文昌) 우주발사장에서 발사됐으며, 두 번의 궤도 수정을 거쳐 지난달 28일 달 표면 400km 상공에 도달했습니다.  이후 지난달 30일 착륙·탐사·이륙체 결합부분이 선체에서 분리돼 나왔고, 1일 오후 10시 57분 달 표면 15km 상공에서 초속 1.7km였던 속도를 줄이기 시작해 표면에 내려앉았습니다.  중국 탐사선의 달 착륙은 2013년 12월 창어 3호, 2019년 1월 창어 4호에 이어 이번이 3번째입니다.  항공 관련 잡지 '항공지식'의 왕야난(王亞男) 편집장은 "3차례 착륙 모두 성공한 것은 궤도 설계, 속도·고도 제어 등 중국의 기술이 믿을 만하고 발달했음을 보여준다"고 평가했습니다.  창어 5호가 보내온 달 표면 사진 / 사진=중국 국가항천국, 글로벌타임스 캡처  창어 5호가 착륙한 지점은 지구에서 육안으로도 보이는 달 북서부 '폭풍우의 바다'로, 인류가 지금까지 탐사한 적 없는 평원지대인 이곳의 토양·암석은 비교적 최근인 32억~40억 년 전 생성된 것으로 추정됩니다.  창어 5호는 표면의 흙을 수집할 뿐만 아니라 로봇팔과 드릴을 이용해 2m 깊이로 땅을 파는 방식 등으로 이틀간 약 2kg의 샘플을 채취할 예정입니다.  중국은 샘플을 통해 해당지역 물질의 구성성분과 형성시기 등에 대한 방대한 지질학적 정보를 얻을 수 있을 것으로 기대하고 있습니다.  국가항천국에 따르면 창어 5호는 이번 작업을 위해 땅을 파고 먼지를 없애는 탐지기의 기능을 강화했으며, 필수적인 샘플 수집에 70% 정도 성공률을 보인 것으로 전해졌습니다.  창어 5호는 샘플 수집 후 다시 달 표면에서 이륙한 뒤 지구에서 38만km 떨어진 달 궤도에서 대기 중인 귀환선과 도킹할 예정인데, 이들 작업은 중국 우주탐사 역사상 처음으로 시도되는 것들입니다.  귀환선은 이후 초속 11km로 이동 후 지구 대기권에 재진입하며, 중국 북부 네이멍구(內蒙古)자치구 쓰쯔왕(四子王)으로 돌아올 예정입니다.  중국은 지난해 1월 인류 최초로 창어 4호 탐사선을 달 뒷면에 착륙시키고 올해 7월 자국 최초의 화성탐사선 톈원(天問)-1호를 쏘아 올린 데 이어, 이번 프로젝트로 다시 한번 '우주굴기' 의지를 보였다는 평가가 나옵니다.  달 샘플 채취 후 지구 복귀 임무는 1960~1970년대 미국과 구소련 이후 40여 년 만이며, 중국은 미국과 구소련에 이어 3번째로 이러한 임무 성공에 도전합니다.  중국은 이번 작업이 유인 달 탐사 및 달 연구기지 건설 등을 위한 기술적 토대를 놓을 것으로 기대하고 있습니다.  [MBN 온라인뉴스팀]  ▶ 네이버에서 'MBN뉴스'를 만나보세요! ▶ MBN 무료 고화질 온에어 서비스 GO!    < Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 >	
1	믿냐? 짱개를?	4.807354922057604	2.584962500721156	0.0
2	그래봤자 서양기술 답습한 수준이지자기들이 혁신적으로 내놓은 기술력이 있나중국이란 나라가 자기 컨텐즈로세계에 내놓은건 공자랑 만두밖에없음	2.0	0.0	2.0
2	만두 머꼬 싶다	0.0	0.0
3	가짜Moon	2.0	0.0	0.0
4	우주 쓰레기나 치워라! 중궈야~	2.0	1.0	0.0
5	이런 놈들이 치사하게 김치를 탐내냐?   쯔쯔..덩치값도 못하는 족속들...	1.5849625007211563	0.0	0.0
6	믿음이 안간다.ㅎ	1.0	0.0	0.0
7	우린 보내지도 못하면서 잘못되라 욕한다....ㅋㅋㅋㅋㅋ	1.5849625007211563	1.5849625007211563	1.5849625007211563
7	그게 더러운 짱개 욕하는거랑 몬상관?ㅋㅋ	1.0	1.0
7	근데 진짜 이것도사실문제임. 사실을 믿고 안믿고를떠나서 우리도 개발을 해야함. 욕만하지말고ㅎㅎ	0.0	0.0
8	코로나나 퍼트릴 줄 알지 몬 달착륙 짱게이들	1.0	1.0	0.0
9	달에서도 짱개를 봐야하나ㅠㅠ	0.0	0.0	0.0
10	딱보니까 조작이네~	0.0	0.0	0.0
11	그게 아니라 우주는 없어요 여러분들	0.0	0.0	0.0
12	에~휴 달도 끝났고만 짱개들이 몰려 갈덴데 냄새나고 더럽고	0.0	0.0	0.0
13	어쩌라고??	0.0	0.0	0.0
14	전우주적으로 오염시키는구나	0.0	0.0	0.0
15	배아프다 제발 가짜이길	0.0	0.0	0.0
16	믿지도 않지만 사실이래도 별로 대단해보이지도 않음. 미국이 미사일 쏴서 저거 격추 시켜줬음 좋겠당~	0.0	0.0	0.0
17	절대로 안믿는다......가짜의 귀재들이 뭔 장난은 못치냐	0.0	0.0	0.0
18	주작아님?ㅋㅋㅋㅋ	0.0	0.0	0.0
19	저거 문파구리 표피사진	0.0	0.0	0.0
20	ㅋㅋㅋㅋㅋ 니들 경제가 파탄이다 꼬라지을 봐라	0.0	0.0	0.0
21	아. 이건 배가 아프네.  젠장	0.0	0.0	0.0
22	왕민폐들 석탄 먼지 집진기나 제대로 설치해라.	0.0	0.0	0.0
23	짜가..ㅎ	0.0	0.0	0.0
24	못믿겠다 거짓부렁~짱깨	0.0	0.0	0.0
25	안믿어요기자님!!	0.0	0.0	0.0
26	코로나 박멸에 쓸돈을 지들 국가홍보에 쓰는 짱개국가	0.0	0.0	0.0
27	선진기술 해킹해서 거저먹네	0.0	0.0	0.0
28	중국 얘네 말은 믿을수가 있어야지..	0.0	0.0	0.0
29	이제 달도 더럽혀 지겠구만. ㅡㅡ	0.0	1.0	0.0
