전자제품 유통 1위 롯데하이마트…삼성·LG전자에도 '갑질'	2020.12.02. 오후 12:02	롯데하이마트의 대규모유통업법 위반행위 제재 타업체 상품판매에..매장청소, 주차장 관리도 하이마트 '업계관행"..공정위 "관행 개선해야" [세종=이데일리 김상윤 기자] 삼성전자, LG전자 등 납품업체 직원을 정직원처럼 마음대로 일을 시킨 롯데하이마트(071840)가 공정거래위원회에 적발됐다. 대기업 직원들도 전자제품 유통 1위업체인 하이마트 앞에선 ‘을’이었던 셈이다.  공정거래위원회는 롯데하이마트의 대규모유통업법 위반행위에 대해 시정명령과 과징금 10억원을 부과하기로 결정했다고 2일 밝혔다.  롯데하이마트는 지난 2015년1월부터 3년6개월간 31개 납품업자로부터 1만4540명의 종업원을 파견 받아 약 5조 5000억 원 상당의 다른 납품업자의 전자제품까지 판매하고 파견종업원별 판매목표와 실적까지 관리한 것으로 드러났다. 이 과정에서 인건비는 모두 납품업체가 부담했다.  하이마트는 납품업자 파견종업원에게 하이마트와 제휴계약이 돼 있는 약 100건의 제휴카드 발급을 요구하고, 9만9000건의 이동통신서비스가입, 22만건의 상조서비스 가입하도록 요구했다. 아울러 매장청소, 주차장관리, 재고조사, 판촉물 부착, 인사도우미 등 업무도 수시로 동원한 것으로 나타났다. 이같은 업무를 하더라도 인건비는 모두 납품업체가 부담했다.  대규모유통업법은 대규모유통업자가 예외적으로 납품업자 종업원을 파견 받는 경우에도 해당 납품업자가 납품한 상품의 판매 및 관리 업무에만 사용하고 그 외 다른 업무에는 사용할 수 없도록 규정하고 있다.  아울러 사전에 파견인원, 근무기간, 업무내용, 인건비 분담조건 등 파견조건을 사전적으로 서면 약정해야 한다.  공정위는 하이마트가 납품업체로부터 판매장려금도 부당하게 수취했다고 봤다. 하이마트는 2015년 1월부터 2017년 6월 기간 중 기본계약서에 포함되지 않은 약 183억 원의 판매장려금을 부당하게 수취하고, 이를 우수 판매지점 회식비, 우수 직원 시상 등으로 활용했다.  이는 납품업자와 판매장려금의 종류 및 명칭, 지급목적, 지급시기 및 횟수, 판매장려금의 비율 및 액수 등에 대해 연간거래 기본계약에 약정하는 경우에만 그 조건에 따라 납품업자로부터 판매장려금을 지급받을 수 있도록 규정한 대규모유통업법을 위반한 행위다.  이외 하이마트는 물류대행수수료 단가가 인상되자 이를 소급적용해 받은 혐의도 적발됐다. 하이마트는 2015년 1월부터 3개월간 계열사 롯데로지스틱스가 물류비를 인상하자 46개 납품업자에게 물류대행수수료 단가 인상분을 최대 6개월 소급적용해 1억1000만원을 부당 수취했다. 2015년 2월에도 71개 납품업자에게 수수료 단가 인상분을 최대 5개월 소급적용해 8200만원을 부당 수취했다. 대규모유통업법은 정당한 사유없이 납품업자에게 불이익을 주는 행위를 금지하고 있다.  하이마트는 공정위 심의 과정에서 유통 관행이라고 해명했지만, 공정위는 이를 받아들이지 않았다. 법에 따라 관행은 개선돼야 한다는 이유에서다.  공정위는 납품업자 파견종업원 부당 사용행위에 정액과징금 최대한도인 5억원을 부과하는 등 총 10억원을 부과했다. 인건비 기록 등이 자세히 남아 있지 않아 정률과징금이 아닌 정액과징금을 부과할 수밖에 없다는 이유에서다.  권순국 공정위 유통거래과장은 “하이마트가 납품업체로부터 대규모 인력을 파견 받아 장기간에 걸쳐 상시 사용하는 등 그 위법성의 정도가 매우 큼에도 조사·심의 과정에서 개선 의지가 크지 않았다”면서 “최대 한도 과징금을 부과하고 지속적으로 시정명령 이행여부를 감시하면서 유통 관행 개선에 나서겠다”고 강조했다.  공정위가 납품업체 직원으로부터 받은 증거자료(확인서). 이 직원은 납품업체의 상품 판매 외에 화장실청소 등을 한 것으로 조사됐다.   김상윤 (yoon@edaily.co.kr)  ▶ #24시간 빠른 #미리보는 뉴스 #eNews+ ▶ 네이버에서 '이데일리 뉴스'를 만나보세요 ▶ 빡침해소, 청춘뉘우스 '스냅타임'   ＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞	
1	일본기업	5.247927513443585	0.0	0.0
2	로떼가 또 로떼했네	3.700439718141092	0.0	0.0
3	모두 쉬쉬했덤 ㄱㅔ 이제터지네 ㅎㅎㅎㅎ 하마는 쇄신이 필요함. 일본 양판컬쳐 그대로 가져와서 시대랑도 안맞고	3.4594316186372978	0.0	0.0
4	롯데 하청으로 얼마전까지 일했는데 진짜 대단함 갑질의 영역이 아니던데	3.1699250014423126	0.0	0.0
5	과징금 10억? 장난함?	2.321928094887362	1.0	0.0
6	롯데 문제.많네~	1.5849625007211563	0.0	0.0
7	유명하지 롯데	1.5849625007211563	0.0	0.0
8	롯데 애들 껌팔던 애들이라 원래 그래요	1.0	0.0	0.0
9	롯데회장 저는 한국사람 이노무이다!생각난다! 소~~~름!일본기업 롯데!	1.0	0.0	0.0
10	기업이나 직원이나 갑질...	1.0	0.0	0.0
11	괜히 로떼가 아니지.. 암..	1.0	0.0	0.0
12	카드 끼워팔기 상조업체 끼워팔기 이거랑 같이 하시면 훨씬 저렴합니다. ㅋㅋㅋ 몇번 하이마트 사다가 전자제품은 온라인에서 사는게 답이다 라는걸 깨달음. 상술에 속지마시고 차라리 하이마트 구매하실거면 하이마트 온라인에서 구매하세요	1.0	0.0	0.0
13	저런짓하는게 관행처럼 이어져왔는데  이제서야   ㅡㅡ  정직원은 거의 없고 업체 직원들이 궂은 일은 다하지 직원은 상전처럼 행세하고	1.0	0.0	1.0
13	롯데는 차장도 계약직? 파견직이라고 듣었어요 ㅎ	0.0	0.0
14	조때네	1.0	0.0	0.0
15	남의돈 삥뜯어서 장사한것 같네요 ..싸면뭐해누군가의 희생금이네	0.0	0.0	0.0
16	인터넷으로 가고나 베스트샵 프라자 가	0.0	0.0	0.0
17	전국적인 롯데 불매운동에 모두 동참합시다!!	0.0	0.0	0.0
18	아니 대기업에서 그걸 핑계라고;;;	0.0	0.0	0.0
19	껌팔이 ㅅ퀴들	0.0	0.0	0.0
20	대형마트도 똑 같다. 전부 쉬쉬하고 있겠지. 대형마트 협력업체도 전수 조사를해라. 실명공개하지말고 1대1 감사를 해보시기를...갑질은 여전하다. 판촉 및 매출하라고 매일 매일 모아놓고 질책한다.	0.0	0.0	0.0
21	롯데가 롯데 했음. 하이마트 근데 가는사람이 대체 누구야? 제정신 한국인임? 안가는게 정상적인 사고라면 당연한거 아닌가?	0.0	0.0	0.0
22	또 나왔네 일할때 느꼈지만 갑of갑질	0.0	0.0	0.0
23	하이마트 삼성 직원으로 잠깐 알바 일해 봤었는데.. 조금 짬밥되는놈이 나에게 멱살 잡으면서 매장에서 고객응대 하지말고 주차 안내나 하라고 했을때.. 그때 난 하이마트에 일하는 놈들이 어떤 놈들인지 잘 알아봤다.. 나는 절대 하이마트는 근처도 안간다..	0.0	0.0	0.0
24	쓰레기 롯데가 쓰레기짓 하는게 이상할게 없잖아?	0.0	0.0	0.0
25	역시 롯데....업계 관행이라니 웃기고 있네...관행이 잘못 된 것이면 고칠 생각을 해야지	0.0	0.0	0.0
26	롯데 갑질 하루이틀 아니다ㅋㅋ 쉬레기들	0.0	0.0	0.0
27	롯데 아웃	0.0	0.0	0.0
28	롯데만 들어가면 정말 전근대적인 문화가 만연하다. 얼마전에 깡 유행하니까 무단으로 쓰다가 걸려서 사과하더니... 정말 쪽바리들은 어쩔수없다.	0.0	0.0	0.0
29	에휴 또 롯데냐...	0.0	0.0	0.0
30	동원 훈련도 개인 휴무로 참석해야 했음.제대로 조사 좀 하시지	0.0	0.0	0.0
31	롯데 아니랄까봐! 에혀!	0.0	0.0	0.0
