	댓글번호	댓글내용	답글수	pos길이	본문/전체명사	본문/전체명사종류	자카드	nonset자카드	자카드명사	nonset자카드명사
1	2	현대차가 현대차 했네... ㅋㅋㅋ	0.0	9	0.75	0.75	0.012345679012345678	0.012345679012345678	0.015544041450777202	0.015544041450777202
35	36	만일 사실이라면 현대차는 국토부에서 법적조치 해야함..왜냐면 동일 차량 동일 문제 리콜은 국내나 미국 모두 같이 사행하지않으면 처벌받도록 되어있음	0.0	40	0.6470588235294118	0.625	0.05040322580645161	0.05443548387096774	0.050505050505050504	0.05555555555555555
4	5	좋은 기사입니다소비자의 입장에서 잘 말씀해주셨습니다	0.0	14	0.6	0.6	0.02263374485596708	0.02263374485596708	0.015463917525773196	0.015463917525773196
22	23	최대한 A/S비용은 줄이고...무상수리기간 끝나면 유상수리 하라는   큰 그림!!!   고쳐서  타던지 말던지...고객은 관심도 없는 현대	0.0	39	0.5	0.5	0.03815261044176707	0.04417670682730924	0.030303030303030304	0.030303030303030304
14	15	그랜저도비슷한통지문받은적있는데.이것도저것도아니게햇갈리게보내왔더군요.도데체뭐하란건지.	0.0	29	0.5	0.5	0.03048780487804878	0.04065040650406504	0.010309278350515464	0.010309278350515464
38	39	역시 현대	0.0	2	0.5	0.5	0.002066115702479339	0.002066115702479339	0.0051813471502590676	0.0051813471502590676
9	10	좋은기사 입니다~^^	0.0	5	0.5	0.5	0.008264462809917356	0.008264462809917356	0.0051813471502590676	0.0051813471502590676
30	31	저도 오늘 전화로 문의하니 경고등 들어오면 와서 수리하라는 답변 받았어요  그런데 너무 찝찝하네요  ㅠㅠ	0.0	26	0.5	0.5	0.02631578947368421	0.030364372469635626	0.015384615384615385	0.015384615384615385
11	12	현대차 하는게 저 수준이지 머 ㅋㅋ	0.0	11	0.5	0.5	0.01646090534979424	0.01646090534979424	0.010309278350515464	0.010309278350515464
23	24	2009년식 nf소나타인데  통지문도오고abs  vdc경고등이켜져서 블루핸즈갔더니리콜이 아니라고하네요가자수리하라고하네요수리비만 120만원이거뭐  장난치는거아닌가요	0.0	46	0.5	0.5	0.03564356435643564	0.04554455445544554	0.025380710659898477	0.025380710659898477
26	27	저도 이 안내문받았어요...센터를 가야되나. 말아야되나 고민되네요ㅡㅡ	0.0	24	0.5	0.5	0.026530612244897958	0.0326530612244898	0.010309278350515464	0.010309278350515464
5	6	국내법이 자동차산업 보호한다고 하면서 봐주기식 하고있어서 그럼 문제 있는부분은 리콜해서 강제 규정해야지 국내as는 리콜보다는 대부분 무상수리 권고정도 강제성이 없는 법	0.0	44	0.47368421052631576	0.4444444444444444	0.04	0.054	0.039603960396039604	0.04455445544554455
31	32	기자가 문의해도 저란데..일반이라면 어떻게 대응할지 뻔하지..후속 기사 요청 합니다.	0.0	23	0.4444444444444444	0.4444444444444444	0.024489795918367346	0.0326530612244898	0.02030456852791878	0.02030456852791878
33	34	어째 좃선에서 이런기사 내나 했더니....지 차가 걸린 문제 였구만... ㅋㅋㅋ	0.0	22	0.42857142857142855	0.42857142857142855	0.020242914979757085	0.022267206477732792	0.015306122448979591	0.015306122448979591
20	21	생명과 관계된 부품인데.. 교체 해 줘야지... ㅠㅠ	0.0	14	0.4	0.4	0.014344262295081968	0.018442622950819672	0.010256410256410256	0.010256410256410256
29	30	점검을 해서 유상전환 될수 있다면 점검하지말고 찾아내던지..니들이 와서 점검해라..내가 가서 유상수리로 밝혀지면 차량 이동에  따른 타이어 및 차체소모비용과 기름갑도 내놓아라, .니들 통지문에 불들어오면 가야되는것처럼 낚았으니..	0.0	72	0.5	0.4	0.06732673267326733	0.09504950495049505	0.029850746268656716	0.04477611940298507
8	9	시간 내서  갔다가  헛탕   이건  좀  아니라고  본다.  주행중  경고등  안  뜨면  해당  안된다고.   사고가  터져야  앗 뜨거  하는   아주  잘못된  기업정신을  가진 기업이라고  생각됨	1.0	43	0.36363636363636365	0.4	0.0398406374501992	0.045816733067729085	0.020202020202020204	0.020202020202020204
39	40	저는 그랜져HG 2002년식을 타다가 엔진쇼트(엔진하부 교체) 리콜을 받았는데, 그 이후에 엔진 실화(엔진에 점화가 잘 안되는 것)가 발생해서 다시 갔더니... 자신들의 과실이 아니라고 무상수리를 해 주지 않으면서 매우 고압적으로 대하더군요. 어쩔수 없어서 아직도 그냥 타고 있습니다.	2.0	84	0.47368421052631576	0.375	0.09055118110236221	0.11614173228346457	0.0297029702970297	0.04455445544554455
28	29	차가 한번쯤고장이  나야 알수있다  얼마나웃긴 현대차 인지벽에다 대고 얘기  하는 기분  사는사람이 잘못이다는  현대차 사람들  욕나온다	0.0	37	0.38461538461538464	0.36363636363636365	0.03621730382293763	0.04426559356136821	0.020100502512562814	0.02512562814070352
18	19	국내소비자를 대하는 현기짜의 트기...정씨가문의  3세가 바통을 이어받았다는데  소비자를  알로  보는건 바뀌지 않은것 같네, ..그놈이 그놈...	0.0	46	0.4	0.3333333333333333	0.04417670682730924	0.05622489959839357	0.015151515151515152	0.020202020202020204
27	28	엔진가지고도 장난질 했지!세타엔진 가지고 장난친 현기차 꼭 망해라디지라 디지라 현기차 쓰레기들아.절때 다신 안산다	0.0	32	0.4	0.3333333333333333	0.024096385542168676	0.030120481927710843	0.015151515151515152	0.020202020202020204
19	20	현대차 브래이크는 사람잡는다....	0.0	10	0.3333333333333333	0.3333333333333333	0.0081799591002045	0.0081799591002045	0.005154639175257732	0.005154639175257732
36	37	그건요~~~현X기X자동차 그룹 계열사가 국토부니까 그렇죠~~~~ㅋㅋㅋ	0.0	18	0.2857142857142857	0.2857142857142857	0.014198782961460446	0.014198782961460446	0.01015228426395939	0.01015228426395939
0	1	국토부 담당부서, 관련 전문가(대학교수) 들이 다 현대기아차에 기생하는 구조니깐 그렇지 뭐. 전문가들은 연구지원비로 기생하고, 국토부는 문제 해결능력이 없어서 현대차 IR팀에서 불러주는데로 발표하니깐	3.0	57	0.25	0.2857142857142857	0.04771371769383698	0.0636182902584493	0.028985507246376812	0.028985507246376812
24	25	저희도100만원가까이 수리한뒤한달안에 통보문이왔길래발뺌하려고보낸거아닌가싶어너무어이없었어요~서비스센터측에선비슷한사례가많다고하던데용기내어올려주심에응원드립니다	0.0	51	0.25	0.25	0.04330708661417323	0.051181102362204724	0.014925373134328358	0.014925373134328358
2	3	이렇게 자국민 호구로 보는 제조사가 있나?? 그런데도 국산차 사야되고... 현대차 사야 애국자라는 마인드는 대체 뭐여....위에있는 내용 말고도 내외수 차별은 지금 나오는 신차에도 심각한 수준이다.  대체 정부는 뭐하는건지.. 왜 존재하는지 모르겠다	1.0	73	0.2222222222222222	0.2222222222222222	0.05708661417322835	0.09055118110236221	0.019417475728155338	0.019417475728155338
15	16	대한민국 자동차  업계 독점기업의 배짱장사지     제품에  근본적으로 문제가 있지만  검사해서  이상없으면   비용은  구매자가  구매해야하는것이  정상이냐    에라이   나쁜 시키들아~~	0.0	43	0.21052631578947367	0.21052631578947367	0.041749502982107355	0.04572564612326044	0.01932367149758454	0.01932367149758454
21	22	베타테스터께 드리는 푸짐한 선물이라 생각하고 받으시죵~호갱님~	0.0	20	0.2	0.2	0.02032520325203252	0.022357723577235773	0.00510204081632653	0.00510204081632653
17	18	현대차 주식 매도해야겠네...망할 징조.....	0.0	12	0.2	0.2	0.006109979633401222	0.008146639511201629	0.00510204081632653	0.00510204081632653
37	38	이런데도 돈주고 흉기를산다고? 대깨문들이 전월세 쫒겨나면서 문재인 지지하는거랑 뭐가틀려	0.0	27	0.125	0.125	0.022044088176352707	0.022044088176352707	0.005025125628140704	0.005025125628140704
12	13	이런데도 대한항공 아시아나 독점체제를 만드는 현기를 만든 핵대중의 전라공산당	0.0	19	0.1111111111111111	0.1111111111111111	0.01417004048582996	0.016194331983805668	0.005	0.005
25	26	ㅅ ㅂ.  흉기차가 싫어도 돈이 없다 보니 기아차 구매했는데, 기아차는 어떨지 모르겠네. 회장이 동일인이니.	0.0	32	0.09090909090909091	0.1	0.02620967741935484	0.034274193548387094	0.004975124378109453	0.004975124378109453
6	7	자국민을  호구로여기는 대표적인 악덕저질기업.불매운동이답이다	0.0	19	0.1	0.1	0.018292682926829267	0.02032520325203252	0.004975124378109453	0.004975124378109453
13	14	미쯔비시 기술제휴로 어깨너머로 배운 기술가지고 누더기 옷처럼 덕지덕지 붙인 미완성 기술이 쌓여온 결과가 작금의 현실이고, 지들도 어디서부터 잘못됐는지 모를거야 ㅋㅋㅋ 그게 더 문제지	0.0	45	0.0	0.0	0.021484375	0.02734375	0.0	0.0
16	17	정의선체제 들어와서 현기가 더 배짱으로 가는거같아...이러면 다신 안사지...	0.0	22	0.0	0.0	0.016194331983805668	0.020242914979757085	0.0	0.0
10	11	흉기를 누가 이김? 정권붕괴되도 흉기는 살아남을 기업임.	0.0	16	0.0	0.0	0.014256619144602852	0.014256619144602852	0.0	0.0
7	8	그래, 우린 호구였어.	0.0	7	0.0	0.0	0.00823045267489712	0.00823045267489712	0.0	0.0
32	33	반나절이면 지구 반대편 세상속도 금방 아는 세상에서 사기를 잘도 치는구만	0.0	19	0.0	0.0	0.016227180527383367	0.016227180527383367	0.0	0.0
34	35	현기아차는 원래 그렇게 타는거야. 그냥 타라	0.0	13	0.0	0.0	0.010224948875255624	0.014314928425357873	0.0	0.0
3	4	현기차는 대표적인 정경유착 기업이지	1.0	11	0.0	0.0	0.010224948875255624	0.010224948875255624	0.0	0.0
